가가밀라노,1781,3534,2835,NNG,*,F,가가밀라노,Preanalysis,*,*,가가/NNG/*+밀라노/NNG/*
가가코스,1781,3534,2835,NNG,*,F,가가코스,Preanalysis,*,*,가가/NNG/*+코스/NNG/*
가격라벨기,1781,3534,2835,NNG,*,F,가격라벨기,Preanalysis,*,*,가격/NNG/*+라벨기/NNG/*
가격비교,1781,3534,2835,NNG,*,F,가격비교,Preanalysis,*,*,가격/NNG/*+비교/NNG/*
가격인하,1781,3534,2835,NNG,*,F,가격인하,Preanalysis,*,*,가격/NNG/*+인하/NNG/*
가격택,1781,3535,2835,NNG,*,T,가격택,Preanalysis,*,*,가격/NNG/*+택/NNG/*
가격텍,1781,3535,2835,NNG,*,T,가격텍,Preanalysis,*,*,가격/NNG/*+텍/NNG/*
가격표,1781,3534,2635,NNG,*,F,가격표,Preanalysis,*,*,가격/NNG/*+표/NNG/*
가격표시기,1781,3534,2835,NNG,*,F,가격표시기,Preanalysis,*,*,가격/NNG/*+표시기/NNG/*
가고픈십자수,1781,3534,2835,NNG,*,F,가고픈십자수,Preanalysis,*,*,가/NNG/*+고픈/NNG/*+십자수/NNG/*
가공식품,1781,3535,4155,NNG,*,T,가공식품,Preanalysis,*,*,가공/NNG/*+식품/NNG/*
가구가기,1781,3534,2835,NNG,*,F,가구가기,Preanalysis,*,*,가구/NNG/*+가기/NNG/*
가구마루,1781,3534,2835,NNG,*,F,가구마루,Preanalysis,*,*,가구/NNG/*+마루/NNG/*
가구온,1781,3535,2835,NNG,*,T,가구온,Preanalysis,*,*,가구/NNG/*+온/NNG/*
가구장,1781,3535,2835,NNG,*,T,가구장,Preanalysis,*,*,가구/NNG/*+장/NNG/*
가글디스펜서,1781,3534,2835,NNG,*,F,가글디스펜서,Preanalysis,*,*,가글/NNG/*+디스펜서/NNG/*
가글디스펜스,1781,3534,2835,NNG,*,F,가글디스펜스,Preanalysis,*,*,가글/NNG/*+디스펜스/NNG/*
가꿈유아사,1781,3534,2835,NNG,*,F,가꿈유아사,Preanalysis,*,*,가꿈/NNG/*+유아사/NNG/*
가나안덕,1781,3535,2835,NNG,*,T,가나안덕,Preanalysis,*,*,가나안/NNG/*+덕/NNG/*
가넷힐,1781,3535,2835,NNG,*,T,가넷힐,Preanalysis,*,*,가넷/NNG/*+힐/NNG/*
가누다베개,1781,3534,2835,NNG,*,F,가누다베개,Preanalysis,*,*,가누다/NNG/*+베개/NNG/*
가누다블루라벨,1781,3535,2835,NNG,*,T,가누다블루라벨,Preanalysis,*,*,가누다/NNG/*+블루/NNG/*+라벨/NNG/*
